WorkloadId,NormalizedPerf
1,0.2583694623393276
2,0.4834429288920099
3,0.5218102158580894
4,0.5167389246786553
5,0.5167389246786548
6,0.5475313330076633
7,0.5167389246786551
8,0.2737656665038317
9,0.5167389246786552
10,0.5218102158580892
11,0.521810215858089
12,0.5475313330076632
13,0.25836946233932767
14,0.5475313330076634
15,0.5167389246786551
16,0.5475313330076634
17,0.5218102158580892
18,0.5218102158580892
19,0.5167389246786552
20,0.5218102158580893
21,0.5167389246786553
22,0.4834429288920099
23,0.547531333007663
24,0.5771465590938235
25,0.5218102158580886
26,0.2737656665038317
27,0.5167389246786553
28,0.5167389246786552
29,0.5771465590938236
30,0.5218102158580893
31,0.5167389246786552
32,0.5167389246786553
33,0.5475313330076634
34,0.5218102158580892
35,0.5771465590938234
36,0.516738924678655
37,0.5167389246786552
38,0.5771465590938232
39,0.5218102158580892
40,0.521810215858089
41,0.5218102158580888
42,0.5218102158580888
43,0.521810215858089
44,0.5167389246786553
45,0.5218102158580894
46,0.5218102158580892
47,0.5167389246786553
48,0.5475313330076634
49,0.5218102158580893
50,0.5218102158580894
51,0.5218102158580893
52,0.5167389246786552
53,0.5475313330076634
54,0.5167389246786553
55,0.5167389246786553
56,0.5167389246786553
57,0.5475313330076634
58,0.5218102158580894
59,0.5771465590938234
60,0.5218102158580888
61,0.4834429288920099
62,0.5475313330076633
63,0.4834429288920098
64,0.5218102158580888
65,0.4834429288920099
66,0.5167389246786552
67,0.5167389246786552
68,0.2809676880942624
69,0.5218102158580888
70,0.5475313330076632
71,0.5218102158580894
72,0.5475313330076634
73,0.5771465590938235
74,0.2609051079290446
75,0.5771465590938235
76,0.4834429288920099
77,0.5218102158580894
78,0.4834429288920099
79,0.5167389246786552
80,0.516738924678655
81,0.5167389246786552
82,0.5475313330076631
83,0.5218102158580894
84,0.516738924678655
85,0.46097933777058586
86,0.25836946233932767
87,0.5771465590938235
88,0.5167389246786551
89,0.5167389246786552
90,0.5167389246786549
91,0.5475313330076633
92,0.5167389246786553
93,0.4834429288920098
94,0.5167389246786553
95,0.460979337770586
96,0.5167389246786553
97,0.5908073306262022
98,0.5771465590938228
99,0.590807330626202
100,0.5218102158580894
