alloc,latency(M),DRAM,Total,PKG
1,243.000000,34.750000,37.660000,2.910000
2,131.300000,35.620000,40.130000,4.510000
3,82.700000,36.060000,42.620000,6.560000
4,63.200000,36.810000,45.120000,8.310000
5,50.100000,37.190000,47.440000,10.250000
6,41.100000,37.520000,49.780000,12.260000
7,34.400000,37.640000,51.930000,14.290000
8,30.400000,37.970000,54.270000,16.300000
9,26.800000,38.070000,56.430000,18.360000
10,23.500000,38.240000,58.470000,20.230000
11,21.400000,38.130000,60.500000,22.370000
12,20.000000,38.370000,63.160000,24.790000
13,17.900000,38.330000,65.000000,26.670000
14,16.800000,38.600000,67.390000,28.790000
15,16.100000,38.850000,70.040000,31.190000
16,15.100000,38.940000,71.780000,32.840000
